,Domain,Type,TLD Manager
636,.int,sponsored,Internet Assigned Numbers Authority
637,.intel,generic,Intel Corporation
638,.international,generic,"Binky Moon, LLC"
639,.intuit,generic,"Intuit Administrative Services, Inc."
640,.investments,generic,"Binky Moon, LLC"
641,.io,country-code,Internet Computer Bureau Limited
642,.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.
643,.iq,country-code,Communications and Media Commission (CMC)
644,.ir,country-code,Institute for Research in Fundamental Sciences
645,.irish,generic,"Binky Moon, LLC"
646,.is,country-code,ISNIC - Internet Iceland ltd.
647,.iselect,generic,Not assigned
648,.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation)
649,.ist,generic,Istanbul Metropolitan Municipality
650,.istanbul,generic,Istanbul Metropolitan Municipality
651,.it,country-code,IIT - CNR
652,.itau,generic,Itau Unibanco Holding S.A.
653,.itv,generic,ITV Services Limited
654,.iveco,generic,CNH Industrial N.V.
655,.iwc,generic,Not assigned
656,.jaguar,generic,Jaguar Land Rover Ltd
657,.java,generic,Oracle Corporation
658,.jcb,generic,"JCB Co., Ltd."
659,.jcp,generic,"JCP Media, Inc."
660,.je,country-code,Island Networks (Jersey) Ltd.
661,.jeep,generic,FCA US LLC.
662,.jetzt,generic,"Binky Moon, LLC"
663,.jewelry,generic,"Binky Moon, LLC"
664,.jio,generic,"Affinity Names, Inc."
665,.jlc,generic,Not assigned
666,.jll,generic,Jones Lang LaSalle Incorporated
667,.jm,country-code,University of West Indies
668,.jmp,generic,Matrix IP LLC
669,.jnj,generic,"Johnson & Johnson Services, Inc."
670,.jo,country-code,National Information Technology Center (NITC)
671,.jobs,sponsored,Employ Media LLC
672,.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry
673,.jot,generic,"Amazon Registry Services, Inc."
674,.joy,generic,"Amazon Registry Services, Inc."
675,.jp,country-code,"Japan Registry Services Co., Ltd."
